seq,title,composer,musical_form,year
1,왕벌의 비행,니콜라이 림스키코르사코프,교향곡,1929
2,죽음의 무도,카미유 생상스,교향곡,1874
3,바이올린 협주곡 라 장조 작품번호 61,루트비히 판 베토벤,바이올린 협주곡,1806
4,피아노 협주곡 2번,표트르 일리치 차이콥스키,피아노 협주곡,1880
5,파가니니 주제에 의한 광시곡,세르게이 라흐마니노프,피아노 협주곡,1934
6,환상교향곡,엑토르 베를리오즈,교향곡,1826
7,바 장조 파스토랄레,요한 제바스타인 바흐,오르간 협주곡,1785
8,피아노 소나타 8번,로트비히 판 베토벤,피아노 협주곡,1798
9,피아노 소나타 3번,프레데리크 쇼팽,피아노 독주곡,1844
10,물의 유희,모리스 라벨,피아노 독주곡,1901
11,엘리제를 위하여,루트비히 판 베토벤,피아노 독주곡,1810
12,쿨라우 소나티네 Op.20 No.1,프리드리히 다니엘 루돌프 쿨라우,피아노 독주곡,1820
13,발라드 4번,프레데리크 쇼팽,피아노 독주곡,1842
14,밤의 가스파르,모리스 라벨,피아노 독주곡,1908
15,대 푸가 B플랫장조 133,루트비히 판 베토벤,현악 4중주,1826
16,태양 4중주곡집,프란츠 요제프 하이든,현악 4중주,1772
17,교향곡 22번 Eb장조 철학자,프란츠 요제프 하이든,교향곡,1764
18,교향곡 31번 D장조 호른 신호,프란츠 요제프 하이든,교향곡,1765
19,교향곡 제9번,프란츠 베터 슈베르트,교향곡,1828
20,송어,프란츠 베터 슈베르트,피아노 협주곡,1819
21,죽음과 소녀,프란츠 베터 슈베르트,현악 4중주,1826
22,마왕,프란츠 베터 슈베르트,가곡,1797
23,Nella Fantasia,엔니오 모리코네,가곡,1986
24,O Sole Mio,에투아르도 디 카푸아,가곡,1898
25,미사 제3번 F단조,안톤 브루크너,미사곡,1868
26,아이네 클라이네 나흐트무지크,볼프강 아마데우스 모차르트,교향곡,1787
27,피아노 협주곡 17번,볼프강 아마데우스 모차르트,피아노 협주곡,1784
28,저녁 산들바람은 부드럽게,볼프강 아마데우스 모차르트,오페라,1786
29,박쥐(오페레타),요한 슈트라우스 2세,오페라,1874
30,Nessun dorma,자코모 푸치니,오페라,1926
31,피아노 5중주 F단조 Op.34,요하네스 브람스,피아노 협주곡,1864
32,독일 레퀴엠,요하네스 브람스,미사곡,1868
33,나를 울게 하소서,조지 프레드릭 헨델,오페라,1711
34,현악 4중주 6번(op.1-6) C장조,프란츠 요제프 하이든,현악 4중주,1755
35,4중주 소나타 4번 d단조,알레산드로 스카를라티,현악 4중주,1725
36,바이올린 소나타 G단조 L.140,클로드 드뷔시,바이올린 협주곡,1916
37,오르간 협주곡 Op.4,게오르크 프리드리히 헨델,오르간 협주곡,1736
38,미사 제1번,안톤 브루크너,미사곡,1834
39,조화의 영감,비발디,바이올린 협주곡,1711
40,한여름 밤의 꿈 Op.61,펠릭스 멘델스존,교향곡,1843
41,바이올린 협주곡 e단조 Op. 64,펠릭스 멘델스존,바이올린 협주곡,1844
42,엘리야,펠릭스 멘델스존,가곡,1846
43,크시코스의 우편마차,헤르만 네케,가곡,1895
44,아름답고 푸른 도나우강,요한 슈트라우스 2세,교향곡,1867
45,결혼 행진곡,리하르트 바그너,교향곡,1858
46,호두까기 인형,표트르 일리치 차이콥스키,교향곡,1892
47,바이올린 협주곡 D장조,표트르 일리치 차이콥스키,바이올린 협주곡,1877
48,뉘른베르크의 명가수,리하르트 바그너,오페라,1867
49,루슬란과 류드밀라,미하일 글린카,오페라,1842
50,토카타와 푸가,요한 제바스타인 바흐,오르간 협주곡,1709
