masterpiece_seq,masterpiece_title,masterpiece_artist,masterpiece_era,masterpiece_year,masterpiece_technique,masterpiece_material
1,모나리자,레오나르도 다 빈치,르네상스,1503,인물화,유화
2,천지창조,미켈란젤로 부오나로티,르네상스,1512,종교화,벽화
3,최후의 만찬,레오나르도 다 빈치,르네상스,1490,종교화,벽화
4,아테네 학당,라파엘로 산치오,르네상스,1510,추상화,벽화
5,최후의 심판,미켈란젤로 부오나로티,르네상스,1541,종교화,벽화
6,십자가에서 내려지는 그리스도,피터 반 몰,바로크,1634,종교화,유화
7,야경,렘브란트 하르먼손 반 레인,바로크,1642,인물화,유화
8,진주귀걸이를 한 소녀,요하네스 페르메이르,바로크,1665,초상화,유화
9,정물,헤다,바로크,1634,정물화,유화
10,와인잔이 있는 정물,피터 클레즈,바로크,1642,정물화,유화
11,꽃병이 있는 정물,대 오아시스 베르트,바로크,,정물화,유화
12,오감,보갱,바로크,1630,정물화,유화
13,홀로페르네스를 죽이는 유디트,아르테미시아 젠틸레스키,바로크,1599,인물화,유화
14,그네,장 오노레 프라고나르,로코코,1767,인물화,유화
15,퐁파두르 후작부인,프랑수아 부셰,로코코,1756,인물화,유화
16,제르생의 간판,장 앙투안 와토,로코코,1720,인물화,유화
17,베니스 대운하 입구,지오반니 안토니오 카날,로코코,1730,풍경화,유화
18,미델하르니스의 가로수길,마인데르트 호베마,로코코,1689,풍경화,유화
19,호라티우스 형제의 맹세,자크 루이 다비드,고전주의,1785,역사화,유화
20,알프스를 넘는 나폴레옹,자크 루이 다비드,고전주의,1805,인물화,유화
21,4계절 연작화 : 겨울,니콜라 푸생,고전주의,1664,풍경화,유화
22,무아테시에 부인,장오귀스트도미니크 앵그르,고전주의,1856,초상화,유화
23,아르카디아에도 나는 있다,니콜라 푸생,고전주의,1628,추상화,유화
24,민중을 이끄는 자유의 여신,외젠 들라크루아,낭만주의,1830,역사화,유화
25,파가니니의 초상,외젠 들라크루아,낭만주의,1832,인물화,유화
26,겨울 풍경,다비드 프리드리히,낭만주의,1811,풍경화,유화
27,발코니 방,아돌프 멘젤,낭만주의,1845,정물화,유화
28,금색 벨벳 천에 목련,마틴 존슨 히드,낭만주의,,정물화,유화
29,과일 정물,귀스타브 쿠르베,사실주의,1872,정물화,유화
30,"안녕하십니까, 쿠르베 씨",귀스타브 쿠르베,사실주의,1854,인물화,유화
31,이삭 줍는 여인들,장프랑수아 밀레,사실주의,1857,인물화,유화
32,비벤호 공원,존 컨스터블,사실주의,1816,풍경화,유화
33,삼등열차,오노레 도미에,사실주의,1864,정물화,유화
34,별이 빛나는 밤,빈센트 반 고흐,인상주의,1889,풍경화,유화
35,인상 해돋이,클로드 모네,인상주의,1872,풍경화,유화
36,해바라기,빈센트 반 고흐,인상주의,1887,정물화,유화
37,사과 바구니,폴 세잔,인상주의,1895,정물화,유화
38,그랑드자트섬의 일요일 오후,조르주 쇠라,인상주의,1884,풍경화,유화
39,절규,에드바르 뭉크,표현주의,1893,추상화,유화
40,더 키스,구스타프 클림트,표현주의,1909,추상화,유화
41,꽃피는 아몬드 나무,빈센트 반 고흐,표현주의,1890,풍경화,유화
42,꽈리 열매가 있는 자화상,에곤 쉴레,표현주의,1912,인물화,유화
43,나와 마을,마르크 샤갈,표현주의,1911,추상화,유화
44,골콩드,르네 마그리트,초현실주의,1953,추상화,유화
45,연인들,르네 마그리트,초현실주의,1928,추상화,유화
46,기억의 지속,살바도르 달리,초현실주의,1931,정물화,유화
47,어릿광대의 사육제,호안 미로,초현실주의,1924,추상화,유화
48,거리의 신비와 우수,조르지오 데 키리코,초현실주의,1914,추상화,유화
49,꽃공,타카시 무라카미,팝아트,2002,추상화,판화
50,빛나는 아기,키스 해링,팝아트,1990,추상화,벽화
51,캠벨 수프 통조림,앤디 워홀,팝아트,1962,정물화,실크 스크린
52,마릴린먼로1,앤디 워홀,팝아트,1964,인물화,실크 스크린
53,차 안에서,로이 리히텐슈타인,팝아트,1963,추상화,유화
